Line #,Key,en Version,ru Translation
1,ru.activerecord.models.user.one,User,""
2,ru.activerecord.models.user.other,Users,""
3,ru.activerecord.models.provider.one,Provider,""
4,ru.activerecord.models.provider.other,Providers,""
5,ru.activerecord.models.place.one,Organisation,""
6,ru.activerecord.models.place.other,Organisations,""
7,ru.activerecord.models.service.one,Service,""
8,ru.activerecord.models.service.other,Services,""
9,ru.activerecord.models.page_content.one,Page Content,""
10,ru.activerecord.models.page_content.other,Page Contents,""
11,ru.activerecord.models.place_invitation.one,Invitation,""
12,ru.activerecord.models.place_invitation.other,Invitations,""
13,ru.activerecord.models.place_rates.one,rate,""
14,ru.activerecord.models.place_service.one,Service,""
15,ru.activerecord.models.place_service.other,Services,""
16,ru.activerecord.models.page_content_item.one,List Item,""
17,ru.activerecord.models.page_content_item.other,List Items,""
18,ru.activerecord.models.tag.declined,(Declined),""
19,ru.activerecord.models.resource.one,Resource,""
20,ru.activerecord.models.resource.other,Topic,""
21,ru.activerecord.models.resource_item.one,Chapter,""
22,ru.activerecord.models.resource_item.other,Chapters,""
23,ru.activerecord.models.resource_content.one,Resource Content,""
24,ru.activerecord.models.resource_content.other,Resource Contents,""
25,ru.activerecord.attributes.provider.name,Provider Name,""
26,ru.activerecord.attributes.provider.description,Provider Description,""
27,ru.activerecord.attributes.providers.name,Provider Name,""
28,ru.activerecord.attributes.providers.description,Provider Description,""
29,ru.activerecord.attributes.service.name,Service Name,""
30,ru.activerecord.attributes.service.description,Service Description,""
31,ru.activerecord.attributes.service.icon,Service Icon,""
32,ru.activerecord.attributes.service.color,Service Color,""
33,ru.activerecord.attributes.service.for_adults,For Adults,""
34,ru.activerecord.attributes.service.for_children,For Children,""
35,ru.activerecord.attributes.service.parent,Parent Service,""
36,ru.activerecord.attributes.service.sub_services,Services,""
37,ru.activerecord.attributes.service.position,Position,""
38,ru.activerecord.attributes.page_content.title,Title,""
39,ru.activerecord.attributes.page_content.content,Content,""
40,ru.activerecord.attributes.user.first_name,First Name,""
41,ru.activerecord.attributes.user.last_name,Last Name,""
42,ru.activerecord.attributes.user.name,Name,""
43,ru.activerecord.attributes.user.password,Password,""
44,ru.activerecord.attributes.user.username,Username,""
45,ru.activerecord.attributes.user.email,Email,""
46,ru.activerecord.attributes.user.password_confirmation,Password Confirmation,""
47,ru.activerecord.attributes.user.is_service_provider,Publish your organization's services on Sheaghe,""
48,ru.activerecord.attributes.user.roles.user,User,""
49,ru.activerecord.attributes.user.roles.provider,Organisation,""
50,ru.activerecord.attributes.user.roles.admin,Admin,""
51,ru.activerecord.attributes.user.providers.one,Organisation,""
52,ru.activerecord.attributes.user.providers.other,Organisations,""
