id,Key,en Version,en Version,,
,en.activerecord.models.user.one,User,User,,
,en.activerecord.models.user.other,Users,Users,,
,en.activerecord.models.provider.one,Provider,Provider,,
,en.activerecord.models.provider.other,Providers,Providers,,
,en.activerecord.models.place.one,Organisation,Organisation,,
,en.activerecord.models.place.other,Organisations,Organisations,,
,en.activerecord.models.service.one,Service,Service,,
,en.activerecord.models.service.other,Services,Services,,
,en.activerecord.models.page_content.one,Page Content,Page Content,,
,en.activerecord.models.page_content.other,Page Contents,Page Contents,,
,en.activerecord.models.place_invitation.one,Invitation,Invitation,,
,en.activerecord.models.place_invitation.other,Invitations,Invitations,,
,en.activerecord.models.place_rates.one,rate,rate,,
,en.activerecord.models.place_service.one,Service,Service,,
,en.activerecord.models.place_service.other,Services,Services,,
,en.activerecord.models.page_content_item.one,List Item,List Item,,
,en.activerecord.models.page_content_item.other,List Items,List Items,,
,en.activerecord.models.tag.declined,(Declined),(Declined),,
,en.activerecord.models.resource.one,Resource,Resource,,
,en.activerecord.models.resource.other,Topic,Topic,,
,en.activerecord.models.resource_item.one,Chapter,Chapter,,
,en.activerecord.models.resource_item.other,Chapters,Chapters,,
,en.activerecord.models.resource_content.one,Resource Content,Resource Content,,
,en.activerecord.models.resource_content.other,Resource Contents,Resource Contents,,
,en.activerecord.attributes.provider.name,Provider Name,Provider Name,ორგანიზაციის დასახელება,
,en.activerecord.attributes.provider.description,Provider Description,Provider Description,ორგანიზაციის აღწერა,
,en.activerecord.attributes.providers.name,Provider Name,Provider Name,ორგანიზაციის დასახელება,
,en.activerecord.attributes.providers.description,Provider Description,Provider Description,ორგანიზაციის აღწერა,
,en.activerecord.attributes.service.name,Service Name,Service Name,,
,en.activerecord.attributes.service.description,Service Description,Service Description,,
,en.activerecord.attributes.service.icon,Service Icon,Service Icon,,
,en.activerecord.attributes.service.color,Service Color,Service Color,,
,en.activerecord.attributes.service.for_adults,For Adults,For Adults,,
,en.activerecord.attributes.service.for_children,For Children,For Children,,
,en.activerecord.attributes.service.parent,Parent Service,Parent Service,,
,en.activerecord.attributes.service.sub_services,Services,Services,,
,en.activerecord.attributes.service.position,Position,Position,,
,en.activerecord.attributes.page_content.title,Title,Title,,
,en.activerecord.attributes.page_content.content,Content,Content,,
,en.activerecord.attributes.user.first_name,First Name,First Name,,
,en.activerecord.attributes.user.last_name,Last Name,Last Name,,
,en.activerecord.attributes.user.name,Name,Name,,
,en.activerecord.attributes.user.password,Password,Password,,
,en.activerecord.attributes.user.username,Username,Username,,
,en.activerecord.attributes.user.email,Email,Email,,
,en.activerecord.attributes.user.password_confirmation,Password Confirmation,Password Confirmation,,
,en.activerecord.attributes.user.is_service_provider,ublish your organization's services on Sheaghe,ublish your organization's services on Sheaghe,,
,en.activerecord.attributes.user.roles.user,User,User,,
,en.activerecord.attributes.user.roles.provider,Organisation,Organisation,,
,en.activerecord.attributes.user.roles.admin,Admin,Admin,,
,en.activerecord.attributes.user.providers.one,Organisation,Organisation,,
,en.activerecord.attributes.user.providers.other,Organisations,Organisations,,
,en.activerecord.attributes.place.name,Name,Name,,
,en.activerecord.attributes.place.director,Director,Director,,
,en.activerecord.attributes.place.description,Description,Description,,
,en.activerecord.attributes.place.services,Services,Services,,
,en.activerecord.attributes.place.email,Email,Email,,
,en.activerecord.attributes.place.phone,Phone,Phone,,
,en.activerecord.attributes.place.phone2,Phone 2,Phone 2,,
,en.activerecord.attributes.place.website,Website,Website,,
,en.activerecord.attributes.place.facebook,Facebook,Facebook,,
,en.activerecord.attributes.place.address,Address,Address,,
,en.activerecord.attributes.place.city,City,City,,
,en.activerecord.attributes.place.postal_code,Postal Code,Postal Code,,
,en.activerecord.attributes.place.region,Region,Region,,
,en.activerecord.attributes.place.municipality,Municipality,Municipality,,
,en.activerecord.attributes.place.tags,Tags,Tags,,
,en.activerecord.attributes.place.provider,Provider,Provider,,
,en.activerecord.attributes.place_invitation.place,Organisation ,Organisation ,,
,en.activerecord.attributes.place_invitation.user,User,User,,
,en.activerecord.attributes.place_invitation.sent_by,Sent By,Sent By,,
,en.activerecord.attributes.place_invitation.has_accepted,Has Accepted?,Has Accepted?,,
,en.activerecord.attributes.place_invitation.email,Email,Email,,
,en.activerecord.attributes.place_invitation.created_at,Date Sent,Date Sent,,
,en.activerecord.attributes.place_service.place,Organisation,Organisation,,
,en.activerecord.attributes.place_service.service,Service,Service,,
,en.activerecord.attributes.place_service.is_restricited_geographic_area,Service is available to persons in all regions of Georgia,Service is available to persons in all regions of Georgia,,
,en.activerecord.attributes.place_service.geographic_area_municipalities,Service is available to persons living in the following municipalitie/s,Service is available to persons living in the following municipalitie/s,,
,en.activerecord.attributes.place_service.service_type,Service type,Service type,,
,en.activerecord.attributes.place_service.service_types.municipal,Municipality - funded service,Municipality - funded service,,
,en.activerecord.attributes.place_service.service_types.state,Central government - funded service,Central government - funded service,,
,en.activerecord.attributes.place_service.service_types.private_org,Private service (not supported by local or central government),Private service (not supported by local or central government),,
,en.activerecord.attributes.place_service.act_regulating_service,"The name of the Administrative Act, Program / Sub-program, regulating the service","The name of the Administrative Act, Program / Sub-program, regulating the service",,
,en.activerecord.attributes.place_service.act_link,The Link to the Act,The Link to the Act,,
,en.activerecord.attributes.place_service.description,Short description of the service,Short description of the service,,
,en.activerecord.attributes.place_service.has_age_restriction,Service is available to persons of all ages,Service is available to persons of all ages,,
,en.activerecord.attributes.place_service.age_groups,The service is available to the following ages,The service is available to the following ages,,
,en.activerecord.attributes.place_service.can_be_used_by,Service can be used by,Service can be used by,,
,en.activerecord.attributes.place_service.can_be_used_bies.anyone,By any person,By any person,,
,en.activerecord.attributes.place_service.can_be_used_bies.diagnosis_with_status,By any person having disability status and related diagnosis,By any person having disability status and related diagnosis,,
,en.activerecord.attributes.place_service.can_be_used_bies.diagnosis_without_status,Persons with specific diagnoses (with or withought disability status),Persons with specific diagnoses (with or withought disability status),,
,en.activerecord.attributes.place_service.diagnoses,Please list the diagnoses,Please list the diagnoses,,
,en.activerecord.attributes.place_service.service_activities,Organization provides the following activities ,Organization provides the following activities ,,
,en.activerecord.attributes.place_service.service_specialists,The following specialists are involved in service provision ,The following specialists are involved in service provision ,,
,en.activerecord.attributes.place_service.need_finance,Co-financing may be required,Co-financing may be required,,
,en.activerecord.attributes.place_service.get_involved_link,Please indicate the link for people to learn how to get involved,Please indicate the link for people to learn how to get involved,,
,en.activerecord.attributes.place_service.published,Show this service to the public,Show this service to the public,,
,en.activerecord.attributes.place_service.created_at,Date Created,Date Created,,
,en.activerecord.attributes.place_service.updated_at,Date Last Updated,Date Last Updated,,
,en.activerecord.attributes.place_service.has_content,Service Content Has Been Entered?,Service Content Has Been Entered?,,
,en.activerecord.attributes.place_user.place,Organisation,Organisation,,
,en.activerecord.attributes.place_user.user,User,User,,
,en.activerecord.attributes.place_user.created_at,Date Joined,Date Joined,,
,en.activerecord.attributes.resource.title,Title,Title,,
,en.activerecord.attributes.resource.content,Content,Content,,
,en.activerecord.attributes.resourceitem.title,Chapter Titel ,Chapter Titel ,,"Resource item
რესურს გვერდი"
,en.activerecord.errors.models.user.attributes.email.taken,This email is already used,This email is already used,,
,en.activerecord.errors.models.user.attributes.providers.not_filled,data is not filled,data is not filled,,
,en.simple_form.placeholders.place.website,http://example.com,http://example.com,,
,en.simple_form.placeholders.place.tags,Type tag name and press enter,Type tag name and press enter,,
,en.app.languages.en,English,English,,
,en.app.languages.ka,Georgian,Georgian,,
,en.app.languages._en,English,English,,
,en.app.languages._ka,ქართული,ქართული,,
,en.app.common.name,Sheaghe,Sheaghe,,
,en.app.common.slogan,Discovering Services,Discovering Services,,
