key,en_value,ka_value
en.activerecord.models.user.one,User,User
en.activerecord.models.user.other,Users,Users
en.activerecord.models.provider.one,Provider,პროვაიდერი
en.activerecord.models.provider.other,Providers,პროვაიდერები
en.activerecord.models.place.one,Place,Place
en.activerecord.models.place.other,Places,Places
en.activerecord.models.service.one,Service,Service
en.activerecord.models.service.other,Services,Services
en.activerecord.models.page_content.one,Page Content,Page Content
en.activerecord.models.page_content.other,Page Contents,Page Contents
en.activerecord.models.place_rates.one,rate class,rate class
en.activerecord.models.page_content_item.one,Page Content List Item,Page Content List Item
en.activerecord.models.page_content_item.other,Page Content List Item,Page Content List Item
en.activerecord.attributes.provider.name,Provider Name,Provider Name
en.activerecord.attributes.provider.description,Provider Description,Provider Description
en.activerecord.attributes.providers.name,Provider Name,Provider Name
en.activerecord.attributes.providers.description,Provider Description,Provider Description
en.activerecord.attributes.service.name,Service Name,Service Name
en.activerecord.attributes.service.description,Service Description,Service Description
en.activerecord.attributes.service.icon,Service Icon,Service Icon
en.activerecord.attributes.service.color,Service Color,Service Color
en.activerecord.attributes.page_content.title,Title,Title
en.activerecord.attributes.page_content.content,Content,Content
en.activerecord.attributes.user.first_name,First Name,სახელი
en.activerecord.attributes.user.last_name,Last Name,გვარი
en.activerecord.attributes.user.password,Password,პაროლი
en.activerecord.attributes.user.username,Username,სახელი რეგისტრაციისათვის
en.activerecord.attributes.user.email,Email,ელ.ფოსტა
en.activerecord.attributes.user.password_confirmation,Password Confirmation,პაროლის დადასტურება
en.activerecord.attributes.user.is_service_provider,Do you plan to provide service?,Do you plan to provide service?
en.activerecord.attributes.user.roles.user,User,User
en.activerecord.attributes.user.roles.provider,Provider,Provider
en.activerecord.attributes.user.roles.admin,Admin,Admin
en.activerecord.attributes.user.providers.one,Provider,პროვაიდერი
en.activerecord.attributes.user.providers.other,Providers,პროვაიდერები
en.activerecord.attributes.place.name,Name,Name
en.activerecord.attributes.place.description,Description,Description
en.activerecord.attributes.place.services,Which Rehabilitative services do you provide?,Which Rehabilitative services do you provide?
en.activerecord.attributes.place.emails,Emails,Emails
en.activerecord.attributes.place.phones,Phones,Phones
en.activerecord.attributes.place.website,Website,Website
en.activerecord.attributes.place.address,Address,Address
en.activerecord.attributes.place.city,City,City
en.activerecord.attributes.place.postal_code,Postal Code,Postal Code
en.activerecord.attributes.place.region,Region,Region
en.activerecord.attributes.place.tags,Tags,Tags
en.activerecord.attributes.place.provider,Provider,Provider
en.activerecord.errors.models.user.attributes.email.taken,This email is already used,This email is already used
en.activerecord.errors.models.user.attributes.providers.not_filled, data is not filled, data is not filled
en.activerecord.errors.models.category.attributes.name.blank,The category name can't be blank,კატეგორიის დასახელება არ შეიძლება იყოს ცარიელი
en.activerecord.errors.models.category.attributes.marker_color.taken,Marker color and icon error - the chosen pair is not available: both this icon and this marker color have already been used for another category. Please choose another marker and/or icon.,სიმბოლო და ფერი არ შეესატყვისება ერთმანეთს: აღნიშნული სიმბოლო და ფერი უკვე გამოყენებული იქნა სხვა კატეგორიისათვის. გთხოვთ შექმნათ ახალი კატეგორია ან აირჩიოთ სხვა ფერი.
en.activerecord.errors.models.category.attributes.icon.blank,The icon name can't be blank.,სიმბოლო არ შეიძლება იყოს ცარიელი.
en.activerecord.errors.models.post.attributes.image.too_long,The image must be less than 5MB,ფაილი არ უნდა აღემატებოდეს 5MB.
en.activerecord.errors.models.post.attributes.number_of_items.greater_than,Please add at least 1 service.,გთხოვთ დაამატეთ სულ მცირე ერთი სერვისი.
en.simple_form.placeholders.place.website,http://example.com,http://example.com
en.simple_form.placeholders.place.tags,Type tag name and press enter,Type tag name and press enter
en.app.languages.en,English,ინგლისური
en.app.languages.ka,Georgian,ქართული
en.app.languages._en,English,English
en.app.languages._ka,ქართული,ქართული
en.app.common.name,Sheaghe,Sheaghe
en.app.common.slogan,Discovering Services,Discovering Services
en.app.common.description,"You can use Sheaghe to search for any type of rehab service in Georgia. We have a whole database of service providers on the website; each of them registered according to their location, category of service and the types of service they provide.","You can use Sheaghe to search for any type of rehab service in Georgia. We have a whole database of service providers on the website; each of them registered according to their location, category of service and the types of service they provide."
en.app.common._yes,Yes,დიახ
en.app.common._no,No,არა
en.app.common.mac_alt,McLain Association for Children seeks to transform the lives of the most vulnerable around the world by providing them with the resources they need and by strengthening the systems and individuals that provide them care.,McLain Association for Children seeks to transform the lives of the most vulnerable around the world by providing them with the resources they need and by strengthening the systems and individuals that provide them care.
en.app.common.created_by,Created By,Created By
en.app.common.js_alt,Informing Communities with Data and Design,Informing Communities with Data and Design
en.app.common.privacy_policy,Privacy Policy,Privacy Policy
en.app.common.terms_of_use,Terms of Use,Terms of Use
en.app.common.contact,-----,-----
en.app.common.rate,Rate,Rate
en.app.common.missing,Missing,Missing
en.app.common.or,or,ან
en.app.common.register,Register,რეგისტრაცია
en.app.common.sign_in,Sign In,შესვლა
en.app.common.sign_up,Sign Up,რეგისტრაცია
en.app.common.cancel,Cancel,გაუქმება
en.app.common.reset,Reset,Reset
en.app.common.reset_password,Reset Password,გადმომიგზავნეთ პაროლის შეცვლის ინსტრუქცია.
en.app.common.change_password,Change Password,პაროლის შეცვლა
en.app.common.resend,Resend,Resend
en.app.common.click_here,Click Here,Click Here
en.app.common.alt,%{alt} Image,%{alt} Image
en.app.common.by,by,by
en.app.common.save,Save,შენახვა
en.app.messages.success_updated,%{obj} was successfully updated.,%{obj} was successfully updated.
en.app.messages.fail_updated,%{obj} failed to update.,%{obj} failed to update.
en.app.messages.success_destroyed,%{obj} was successfully deleted.,%{obj} was successfully deleted.
en.app.messages.fail_destroyed,%{obj} failed to delete.,%{obj} failed to delete.
en.app.messages.success_restored,%{obj} was successfully restored.,%{obj} was successfully restored.
en.app.messages.fail_restored,%{obj} failed to restore.,%{obj} failed to restore.
en.app.messages.accepted,%{obj} was successfully accepted.,%{obj} was successfully accepted.
en.app.messages.declined,%{obj} was successfully declined.,%{obj} was successfully declined.
en.app.messages.fail_updated_state,%{obj} state failed to update.,%{obj} state failed to update.
