"რეგიონი","Region","ქუჩის ნომერი","Street Number","ბინის ნომერი,ბლოკი, კვარტალი, შესახვევი","Unit, Block","ქუჩის დასახელება","Street Name","ქალაქი/მუნიციპალიტეტი","city/municipality","სოფელი","Village","ელ-ფოსტა","Emails
(separated by |)","საკონტაქტო ინფორმაცია","Phone numbers
(separated by |)","სერვისის დასახელება","Service Type & Description","სერვისის განმახორცილებელი","Service Provider","დაფინანსების წყარო","Source of Funding","სტატუსი","Beneficiary","მშობელთა მხარდაჭერა","Parental Support",,"Type of Program","ბენეფიციარების ასაკი",
"თბილისი","Tbilisi","მე-2 მიკრო ","2 Micro Region,  ","I კვარტალი, 7-ე კორპუსი, ბინა 4"," I block, building 7, Apt 4","ნუცუბიძის","Nutsubidze","თბილისი","Tbilisi",,,"cog@cog.ge","cog@cog.ge","32 2228 514","32 2228 514","•        ბავშვთა ადრეული განვითარების პროგრამა •        სასამართლო ფსიქოლოგიური მომსახურება •        ბავშვთა და მოზარდთა ფსიქოლოგიური მომსახურება - შეფასება და რეაბილიტაცია •        განათლებისა და განვითარების ფსიქოლოგია: მომსახურებები საგანმანათლებლო დაწესებულებებისათვის - ქცევითი სირთულეების პრევენციის პროგრამა; რთული ქცევის მართვის პროგრამა; პროფესიული ტრენინგები. •        ევროპის მოხალისეობრივი სერვისი EVS •        ორგანიზაცია ახორციელებს ბავშვებისა და ახალგაზრდების უფლებებისათვის ადვოკატირებას. ბავშვთა ადრეული განვითარების პროგრამაქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია..","•        Early childhood development program •       Legal psychological service  •       Psychological services for children and adults - Assessment and Rehabilitation •       Psychology of education and development : Services for educational institutions - behavioral difficulties prevention program; Complex behavior management program; Vocational training. •        The European Voluntary Service EVS •        The organization carries out advocating for the rights of children and young people.Subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. ",,"Children of Georgia","კერძო","Private","შშმ ","Disability","ახორციელებს","Implements",,"Private","0-29","0-29"
"თბილისი","Tbilisi",2,2,"ბინა N6","Apt N6","მირცხულავას","Mirtskhulava","თბილისი","Tbilisi",,,,,"599 53 16 50 |             577 33 16 50","599 53 16 50 |              577 33 16 50","საგანმანათლებლო; სარეაბილიტაციო მომსახურება შშმ ბავშვებისთვის (გონებრივი განვითარების შეფერხება, ცერებრალური დამბლა)","Educational; Rehabilitational service for children with disabilities (mental development delay, cerebral palsy)","სოციალური მომსახურების სააგენტო/კავშირი ,,ახალი ნაბიჯები“","Social Service Agency / Union New Steps","მუნიციპალური ","Municipal","შშმ ","Disability",,,,"Municipal","6-18","6-18"
"თბილისი","Tbilisi",8,8,,,"ძმები უბილავების","Dzmebi Ubilava","თბილისი","Tbilisi",,,"info@apnso.ge","info@apnso.ge","32 2776 307","32 2776 307","საგანმანათლებლო; სარეაბილიტაციო","Educational; Rehabilitational ","სოციალური მომსახურების სააგენტო/კავშირი ადამიანებისთვის განსაკუთრებულ ზრუნვას რომ საჭიროებენ","Social Service Agency / Union for people who require special care","მუნიციპალური ","Municipal","შშმ ","Disability",,,,"Municipal","18-29","18-29"
"თბილისი","Tbilisi",23,23,,,"მიცკევიჩის","Mitskevich","თბილისი","Tbilisi",,,"info@ssa.gov.ge","info@ssa.gov.ge","32 2371  739 |          32 2371 904 |         32 2371  926","32 2371  739 |          32 2371 904 |         32 2371  926","ბავშვთა ადრეული განვითარების ქვეპროგრამა. ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია. ბავშვთა რეაბილიტაციის/აბილიტაციის ქვეპროგრამა. ქვეპროგრამის ამოცანებია სამიზნე ჯგუფის ბავშვთა სპეციფიკური რეაბილიტაცია, აბილიტაცია, ფიზიკური ჯანმრთელობის გაუმჯობესება, ადაპტაციური შესაძლებლობების გაძლიერება და სოციალური ინტეგრაციის ხელშეწყობა. დღის ცენტრების ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის ოჯახების მხარდაჭერა და მიტოვების პრევენცია. სავარძელ-ეტლებით უზრუნვრლყოფისა და შშმ პირთა დასაქმების ხელშეწყობის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ინდივიდუალურად ადაპტირებადი მექანიკური და ელექტროსავარძელ-ეტლებით უზრუნველყოფა, შშმ პირების დასაქმებისა და სა ვარძელ-ეტლების ადგილობრივი წარმოების ხელშეწყობა. კოხლეარული აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებასთან ინტეგრაციის პროცესის ხელშეწყობა. ყავარჯნებით, ჯელჯოხ-ყავარჯნებით, უსინათლოთა ხელჯოხებითა და გადასაადგილებელი ჩარჩოებით უზრუნვრლყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მათი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა. ყრუთა კომუნიკაციის ხელშეწყობის ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის სოციალური ინტეგრაციის ხელშეწყობა. სმენის აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის ხელშეწყობა. ","The subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. Children's Rehabilitation / habilitation subprogram.  The aims of the subprogram are: specific rehabilitation of the target group of children, habilitation,  improvement of physical health, strengthening the adaptive capacities, and supporting their social integration. The subprogram of daycare centers. The aim of the subprogram is to support the target families and prevent abandonment practice. The program of providing wheelchairs and assisting employment of persons with disabilities. The program aims to provide individual and adaptable electric wheelchairs to the target group, support employment of people with disabilities and promote local production of wheelchairs. Program – Providing Cochlear devices. The program aims to improve the quality of functional independence of the target group and support their social integration process. The program providing crutches, canes, walking sticks for the blind and walking frames. The program aims  to improve the quality of  functional independence of the target group  and facilitate the process of their integration into society. Subprogram for facilitating communication of deaf people. The task of the program is to support social integration of the target group. Program – Providing hearing amplifier devices. The program aims to improve the quality of functional independence of the target group and support their social integration process.","სოციალური მომსახურების სააგენტო","Social Service Agency, Tbilisi","სახელმწიფო","State","შშმ ","Disability",,,"სახელმწიფო პროგრამები","State Programs","0-18","0-18"
"თბილისი","Tbilisi","140ა","140a",,,"დ.აღმაშენებლის გამზირი","D. Aghmashenebeli Avenue","თბილისი","Tbilisi",,,"info@ssa.gov.ge","info@ssa.gov.ge","32 2942 498 |         32 2943 103","32 2942 498 |         32 2943 103","ბავშვთა ადრეული განვითარების ქვეპროგრამა. ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია. ბავშვთა რეაბილიტაციის/აბილიტაციის ქვეპროგრამა. ქვეპროგრამის ამოცანებია სამიზნე ჯგუფის ბავშვთა სპეციფიკური რეაბილიტაცია, აბილიტაცია, ფიზიკური ჯანმრთელობის გაუმჯობესება, ადაპტაციური შესაძლებლობების გაძლიერება და სოციალური ინტეგრაციის ხელშეწყობა. დღის ცენტრების ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის ოჯახების მხარდაჭერა და მიტოვების პრევენცია. სავარძელ-ეტლებით უზრუნვრლყოფისა და შშმ პირთა დასაქმების ხელშეწყობის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ინდივიდუალურად ადაპტირებადი მექანიკური და ელექტროსავარძელ-ეტლებით უზრუნველყოფა, შშმ პირების დასაქმებისა და სა ვარძელ-ეტლების ადგილობრივი წარმოების ხელშეწყობა. კოხლეარული აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებასთან ინტეგრაციის პროცესის ხელშეწყობა. ყავარჯნებით, ჯელჯოხ-ყავარჯნებით, უსინათლოთა ხელჯოხებითა და გადასაადგილებელი ჩარჩოებით უზრუნვრლყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მათი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა. ყრუთა კომუნიკაციის ხელშეწყობის ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის სოციალური ინტეგრაციის ხელშეწყობა. სმენის აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის ხელშეწყობა. ","The subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. Children's Rehabilitation / habilitation subprogram.  The aims of the subprogram are: specific rehabilitation of the target group of children, habilitation,  improvement of physical health, strengthening the adaptive capacities, and supporting their social integration. The subprogram of daycare centers. The aim of the subprogram is to support the target families and prevent abandonment practice. The program of providing wheelchairs and assisting employment of persons with disabilities. The program aims to provide individual and adaptable electric wheelchairs to the target group, support employment of people with disabilities and promote local production of wheelchairs. Program – Providing Cochlear devices. The program aims to improve the quality of functional independence of the target group and support their social integration process. The program providing crutches, canes, walking sticks for the blind and walking frames. The program aims  to improve the quality of  functional independence of the target group  and facilitate the process of their integration into society. Subprogram for facilitating communication of deaf people. The task of the program is to support social integration of the target group. Program – Providing hearing amplifier devices. The program aims to improve the quality of functional independence of the target group and support their social integration process.","სოციალური მომსახურების სააგენტო","Social Service Agency, Tbilisi","სახელმწიფო","State","შშმ ","Disability",,,"სახელმწიფო პროგრამები","State Programs","0-18","0-18"
"თბილისი","Tbilisi",1,1,,,"სარაჯიშვილის გამზირი","Sarajishvili Avenue","თბილისი","Tbilisi",,,"info@ssa.gov.ge","info@ssa.gov.ge","32 2623 369  | 32 2623 368","32 2623 369  | 32 2623 368","ბავშვთა ადრეული განვითარების ქვეპროგრამა. ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია. ბავშვთა რეაბილიტაციის/აბილიტაციის ქვეპროგრამა. ქვეპროგრამის ამოცანებია სამიზნე ჯგუფის ბავშვთა სპეციფიკური რეაბილიტაცია, აბილიტაცია, ფიზიკური ჯანმრთელობის გაუმჯობესება, ადაპტაციური შესაძლებლობების გაძლიერება და სოციალური ინტეგრაციის ხელშეწყობა. დღის ცენტრების ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის ოჯახების მხარდაჭერა და მიტოვების პრევენცია. სავარძელ-ეტლებით უზრუნვრლყოფისა და შშმ პირთა დასაქმების ხელშეწყობის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ინდივიდუალურად ადაპტირებადი მექანიკური და ელექტროსავარძელ-ეტლებით უზრუნველყოფა, შშმ პირების დასაქმებისა და სა ვარძელ-ეტლების ადგილობრივი წარმოების ხელშეწყობა. კოხლეარული აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებასთან ინტეგრაციის პროცესის ხელშეწყობა. ყავარჯნებით, ჯელჯოხ-ყავარჯნებით, უსინათლოთა ხელჯოხებითა და გადასაადგილებელი ჩარჩოებით უზრუნვრლყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მათი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა. ყრუთა კომუნიკაციის ხელშეწყობის ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის სოციალური ინტეგრაციის ხელშეწყობა. სმენის აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის ხელშეწყობა. ","The subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. Children's Rehabilitation / habilitation subprogram.  The aims of the subprogram are: specific rehabilitation of the target group of children, habilitation,  improvement of physical health, strengthening the adaptive capacities, and supporting their social integration. The subprogram of daycare centers. The aim of the subprogram is to support the target families and prevent abandonment practice. The program of providing wheelchairs and assisting employment of persons with disabilities. The program aims to provide individual and adaptable electric wheelchairs to the target group, support employment of people with disabilities and promote local production of wheelchairs. Program – Providing Cochlear devices. The program aims to improve the quality of functional independence of the target group and support their social integration process. The program providing crutches, canes, walking sticks for the blind and walking frames. The program aims  to improve the quality of  functional independence of the target group  and facilitate the process of their integration into society. Subprogram for facilitating communication of deaf people. The task of the program is to support social integration of the target group. Program – Providing hearing amplifier devices. The program aims to improve the quality of functional independence of the target group and support their social integration process.","სოციალური მომსახურების სააგენტო","Social Service Agency, Tbilisi","სახელმწიფო","State","შშმ ","Disability",,,"სახელმწიფო პროგრამები","State Programs","0-18","0-18"
"თბილისი","Tbilisi",4,4,"მეორე სართული","second floor","გ.ტაბიძის","G. Tabidze","თბილისი","Tbilisi",,,"info@ssa.gov.ge","info@ssa.gov.ge","32 2933 716  | 32 2933 723","32 2933 716  | 32 2933 723","ბავშვთა ადრეული განვითარების ქვეპროგრამა. ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია. ბავშვთა რეაბილიტაციის/აბილიტაციის ქვეპროგრამა. ქვეპროგრამის ამოცანებია სამიზნე ჯგუფის ბავშვთა სპეციფიკური რეაბილიტაცია, აბილიტაცია, ფიზიკური ჯანმრთელობის გაუმჯობესება, ადაპტაციური შესაძლებლობების გაძლიერება და სოციალური ინტეგრაციის ხელშეწყობა. დღის ცენტრების ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის ოჯახების მხარდაჭერა და მიტოვების პრევენცია. სავარძელ-ეტლებით უზრუნვრლყოფისა და შშმ პირთა დასაქმების ხელშეწყობის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ინდივიდუალურად ადაპტირებადი მექანიკური და ელექტროსავარძელ-ეტლებით უზრუნველყოფა, შშმ პირების დასაქმებისა და სა ვარძელ-ეტლების ადგილობრივი წარმოების ხელშეწყობა. კოხლეარული აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებასთან ინტეგრაციის პროცესის ხელშეწყობა. ყავარჯნებით, ჯელჯოხ-ყავარჯნებით, უსინათლოთა ხელჯოხებითა და გადასაადგილებელი ჩარჩოებით უზრუნვრლყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მათი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა. ყრუთა კომუნიკაციის ხელშეწყობის ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის სოციალური ინტეგრაციის ხელშეწყობა. სმენის აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის ხელშეწყობა. ","The subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. Children's Rehabilitation / habilitation subprogram.  The aims of the subprogram are: specific rehabilitation of the target group of children, habilitation,  improvement of physical health, strengthening the adaptive capacities, and supporting their social integration. The subprogram of daycare centers. The aim of the subprogram is to support the target families and prevent abandonment practice. The program of providing wheelchairs and assisting employment of persons with disabilities. The program aims to provide individual and adaptable electric wheelchairs to the target group, support employment of people with disabilities and promote local production of wheelchairs. Program – Providing Cochlear devices. The program aims to improve the quality of functional independence of the target group and support their social integration process. The program providing crutches, canes, walking sticks for the blind and walking frames. The program aims  to improve the quality of  functional independence of the target group  and facilitate the process of their integration into society. Subprogram for facilitating communication of deaf people. The task of the program is to support social integration of the target group. Program – Providing hearing amplifier devices. The program aims to improve the quality of functional independence of the target group and support their social integration process.","სოციალური მომსახურების სააგენტო","Social Service Agency, Tbilisi","სახელმწიფო","State","შშმ ","Disability",,,"სახელმწიფო პროგრამები","State Programs","0-18","0-18"
"შიდა ქართლი","Tbilisi",25,25,,,"მოსკოვის გამზირი","Moscow Avenue","თბილისი","Tbilisi",,,"info@ssa.gov.ge","info@ssa.gov.ge","32 2710 126  | 32 2710 128","32 2710 126  | 32 2710 128","ბავშვთა ადრეული განვითარების ქვეპროგრამა. ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია. ბავშვთა რეაბილიტაციის/აბილიტაციის ქვეპროგრამა. ქვეპროგრამის ამოცანებია სამიზნე ჯგუფის ბავშვთა სპეციფიკური რეაბილიტაცია, აბილიტაცია, ფიზიკური ჯანმრთელობის გაუმჯობესება, ადაპტაციური შესაძლებლობების გაძლიერება და სოციალური ინტეგრაციის ხელშეწყობა. დღის ცენტრების ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის ოჯახების მხარდაჭერა და მიტოვების პრევენცია. სავარძელ-ეტლებით უზრუნვრლყოფისა და შშმ პირთა დასაქმების ხელშეწყობის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ინდივიდუალურად ადაპტირებადი მექანიკური და ელექტროსავარძელ-ეტლებით უზრუნველყოფა, შშმ პირების დასაქმებისა და სა ვარძელ-ეტლების ადგილობრივი წარმოების ხელშეწყობა. კოხლეარული აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებასთან ინტეგრაციის პროცესის ხელშეწყობა. ყავარჯნებით, ჯელჯოხ-ყავარჯნებით, უსინათლოთა ხელჯოხებითა და გადასაადგილებელი ჩარჩოებით უზრუნვრლყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მათი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა. ყრუთა კომუნიკაციის ხელშეწყობის ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის სოციალური ინტეგრაციის ხელშეწყობა. სმენის აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის ხელშეწყობა. ","The subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. Children's Rehabilitation / habilitation subprogram.  The aims of the subprogram are: specific rehabilitation of the target group of children, habilitation,  improvement of physical health, strengthening the adaptive capacities, and supporting their social integration. The subprogram of daycare centers. The aim of the subprogram is to support the target families and prevent abandonment practice. The program of providing wheelchairs and assisting employment of persons with disabilities. The program aims to provide individual and adaptable electric wheelchairs to the target group, support employment of people with disabilities and promote local production of wheelchairs. Program – Providing Cochlear devices. The program aims to improve the quality of functional independence of the target group and support their social integration process. The program providing crutches, canes, walking sticks for the blind and walking frames. The program aims  to improve the quality of  functional independence of the target group  and facilitate the process of their integration into society. Subprogram for facilitating communication of deaf people. The task of the program is to support social integration of the target group. Program – Providing hearing amplifier devices. The program aims to improve the quality of functional independence of the target group and support their social integration process.","სოციალური მომსახურების სააგენტო","Social Service Agency, Tbilisi","სახელმწიფო","State","შშმ ","Disability",,,"სახელმწიფო პროგრამები","State Programs","0-18","0-18"
"შიდა ქართლი","Inner Kartli",3,3,,,"გელდიაშვილის","Geldiashvili","გორი","Gori",,,,,"370 27 17 53","370 27 17 53","ბავშვთა ადრეული განვითარების ქვეპროგრამა. ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია; სავარძელ-ეტლებით უზრუნვრლყოფისა და შშმ პირთა დასაქმების ხელშეწყობის პროგრმა.პროგრამის ამოცანაა სამიზნე ჯგუფის ინდივიდუალურად ადაპტირებადი მექანიკური და ელექტროსავარძელ-ეტლებით უზრუნველყოფა, შშმ პირების დასაქმებისა და სა ვარძელ-ეტლების ადგილობრივი წარმოების ხელშეწყობა; საპროტეზო-ორთოპედიული საშუალებებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა საპროთეზო-ორთოპედიული საშუალებებით უზრუნველყოფის სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა; კოხლეარული აპარატებით უზრუნველყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებასთან ინტეგრაციის პროცესის ხელშეწყობა; ყავარჯნებით, ჯელჯოხ-ყავარჯნებით, უსინათლოთა ხელჯოხებითა და გადასაადგილებელი ჩარჩოებით უზრუნვრლყოფის პროგრამა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მათი საზოგადოებაში ინტეგრაციის პროცესის ხელშეწყობა; ყრუთა კომუნიკაციის ხელშეწყობის ქვეპროგრამა.ქვეპროგრამის ამოცანაა სამიზნე ჯგუფის სოციალური ინტეგრაციის ხელშეწყობა; სმენის აპარატებით უზრუნველყოფა. პროგრამის ამოცანაა სამიზნე ჯგუფის ფუნქციური დამოუკიდებლობის ხარისხის გაუმჯობესება და მისი საზოგადოებაში ინტეგრაციის ხელშეწყობა; სათემო ორგანიზაციების ქვეპროგრამა. ქვეპროგრამის ამოცანაა სამიზნე ჯგუფისათვის ოჯახურ გარემოსთან მიახლოებული პირობების შექმნა, დამოუკიდებელი ცხოვრების ხელშეწყობა და სოციალური ინტეგრაცია. მიუსაფარ ბავშვთა თავშესაფრით უზრუნველყოფის ქვეპროგრამა. ქვეპროგრამის ამოცანაა მიუსაფარ ბავშვთა ფსიქო-სოციალური რეაბილიტაცია და ინტეგრაცია.","Children's Rehabilitation / habilitation subprogram.  The aims of the subprogram are: specific rehabilitation of the target group of children, habilitation,  improvement of physical health, strengthening the adaptive capacities, and supporting their social integration; The program of providing wheelchairs and assisting employment of persons with disabilities. The program aims to provide individual and adaptable electric wheelchairs to the target group, support employment of people with disabilities and promote local production of wheelchairs; Program of providing prosthetic-orthopedic devices. The program aims to provide the target groups with prosthetic-orthopedic devices, to improve the quality of their functional independence and facilitate the process of their integration into society; Program – Providing Cochlear devices. The program aims to improve the quality of functional independence of the target group and support their social integration process; The program providing crutches, canes, walking sticks for the blind and walking frames. The program aims  to improve the quality of  functional independence of the target group  and facilitate the process of their integration into society; Subprogram for facilitating communication of deaf people. The task of the program is to support social integration of the target group; Program – Providing hearing amplifier devices. The program aims to improve the quality of functional independence of the target group and support their social integration process; Subprogram for community organizations. The task of the subprogram is to create close-to-the-family environment for  target groups, promote independent living and social integration. Subprogram - providing shelter for homeless children. The task of the subprogram is psycho-social rehabilitation and integration of homeless children.","გორის სოციალური მომსახურების ცენტრი","Social Service Agency, Gori","სახელმწიფო","State",,,,,,"State","0-18","0-18"
