id,city,address
933,"ბათუმის განათლების, განვითარების და დასაქმების ცენტრი",თამარ მეფის გამზ. პირველი შესახვევი 4
934,სამედიცინო ასოციაცია თანა,სათნოების ქუჩის I ჩიხი 5
935,"საზოგადოება ""ბილიკი""",მშვიდობის გამზ. 12
939,Life Line,ერეკლე მეორის 15
942,ასოციაცია საქართველოს ეს-ო-ეს ბავშვთა სოფელი,"რუსთაველის 93, მე-3 სართული"
944,ახალი ნაბიჯები,"ვარკეთილი 3, 3მ/რ, 180-ე საჯარო სკოლა"
945,ბავშვი და გარემო,აბასთუმნის  4
946,დღის ცენტრი ლაზარე,სოფელი გლდანი. ხიდის 4
952,"ბავშვი, ოჯახი, საზოგადოება","ვაჟა-ფშაველას გამზ.76 ბ, მე-3 სართული, ბინა 39"
954,ია,"გლდანის მე-4მ/რ, კორპ.113, ბ 1ბ"
955,მზის შვილები,სააკაძის ქ 73
957,სარეაბილიტაციო და სოციალური ადაპტაციის ცენტრი აისი,ჩიქვანაიას 21
958,კამიელთა სამედიცინო ცენტრი,"თემქა 11მ/რ, მე-2 კვ, ანაპის 414 დივიზიის 11"
963,საქართველოს ყრუთა კავშირი,მაიაკოვსკის  6
965,სმენისა და მეტყველების დარღვევის მქონე ბავშვთა დახმარების ასოციაცია,"ვაჟა ფშაველას 73, მე-3 კვ, 1ბ კორპ, ბინა 14"
966,ინვალიდთა სოციალური დახმარების ფონდი ახალი სიცოცხლე,ჩოლოყაშვილის  37
967,საქართველოს საზოგადოებრივი ინტერესების დაცვის ასოციაცია,"ჩოლოყაშვილის ჩიხი3, 3"
970,"ქუთაისის განათლების, განვითარების და დასაქმების ცენტრი",ოთხი ძმის  13
971,პარტნიორობა ბავშვებისთვის,რუსთაველის 59 (თიანეთის პირველი საჯარო სკოლა)
972,სამოქალაქო ინიციატივების ახალგაზრდული ცენტრი მომავალი,შატბერაშვილის 32
976,ჩვენ ერთად ვართ,წეროვანის დევნილთა დასახლება
978,მომავლის სხივი,შევჩენკოს 5
982,ნერვული დაავადებებით დაავადებული ბავშვების მშობელთა ასოციაცია,"მე-6 მ/რ, ფალიაშვილის ქუჩის მიმდებარე ნაკვეთი 89"
983,"ქუთაისის განათლების, განვითარების და დასაქმების ცენტრი","ჭანტურიას72_x000D_
1ბაგა-ბაღი"
986,სიღნაღის მრავალშვილიან დედათა და უნარშეზღუდულ ბავშვთა დახმარების კომიტეტი,წნორი. რუსთაველის 43
987,კოალიცია სოციალური რეფორმებისათვის,წმ. გიორგის 56
989,საქველმოქმედო ფონდი საქართველოს კარიტასი,9 აპრილის  33ა
991,"განვითარებისა და სოციალური რეაბილიტაციის ცენტრი ""თაირისი""",ახალგაზრდობის გამზირი მე-3 შეს 4
993,ბენეფიციართა დღის ცენტრი ვალენტინი,ნიკეას მე-2შესახ. 4/49. ხახანაშვილის ქ14
994,"განვითარებისა და სოციალური რეაბილიტაციის ცენტრი ""თაირისი""",ნ.დუმბაძის ქუჩა 59-61
998,საბა+2011,ს.ეწერი
999,სარეაბილიტაციო ცენტრი ჩვენი სახლი,9 აპრილის  1შეს.2
1000,ბავშვი და გარემო,ბარათაშვილის 53
1001,"განვითარებისა და სოციალური რეაბილიტაციის ცენტრი ""თაირისი""",სოფ. ბორითი
1002,ფონდი PANACEA,ხონელიძის 61
1005,სათნოების გზა,ნაძალადევის რ-ნი ჯანელიძის ქ 25ა
1009,ხელი ხელს,"ავჭალა, 1 სამხედრო დასახლება 45ა"
1010,ხელი ხელს,"ავჭალა, 1 სამხედრო დასახლება 45, ბ2"
1011,ხელი ხელს,"მუხიანის სამხედრო დასახლების მიმ-რე ტერ-ა, ავჭალა 1"
1012,სიღნაღის რეგიონის სოციალურად უმწეოთა თერაპიის კავშირი,"ქედელის დასახლება, ნონეშვილის ქუჩა"
1013,უზრუნველი სიბერე,სოფ. ბოდბისხევი
1014,სახლი საზღვრების გარეშე,სოფ. ხურვალეთი
1015,მოხუცებულთა და შეზღუდული შესაძლებლობების მქონე პირთა პანსიონატი ჩემი ოჯახი,გლდანის მე-2 მასივის ტერიტორია
1016,ახალგაზრთა პედაგოგთა კავშირი,"სოფ. ანასეული, მეცნიერების 16"
1017,საქველმოქმედო ფონდი ბარბარე-XXI ,გლდანი-ნაძალადევის რ-ნი. სოფ. გლდანი
1018,სიკეთის სახლი,"სოფ.გლდანი, "
1020,საქველმოქმედო კავშირი თემი,სოფ. გრემი
1021,ბროწლიანის სათნოების სახლი,სოფ. საქობო
1022,ბასილიადა,თ. უშაკოვის 1ა
1023,თაობათა კერა,სოფელი ბოდბისხევი
1025,უნიმედი აჭარა - ჩაქვის სამედიცინო ცენტრი,დაბა ჩაქვი. თამარ მეფის 40–ის მიმდებარედ
1026,ბავშვთა ჯანმრთელობის ცენტრი ,"თელავი, ალადაშვილის 2"
1028,შიდა ქართლის სარეაბილიტაციო ცენტრი,გორი. ჭავჭავაძის 24/ა
1029,ავადმყოფთა მომსახურე სასულიერო პირთა ორდენი (კამილიელების) ფილიალი საქართველოში,"თემქა. მე–11 მკრ, მე–2 კვარტალი, ანაპის 414 დივიზიის  11"
1030,"რეაბილიტაციისა და სოციალური ადაპტაციის ცენტრი ""აისი""",ჩიქვანაიას 21
1031,ოქროს ველი,გურჯაანი. თამარ მეფის 5
1032,აბილიტაციის და განვითარების ცენტრი, ს. ხიმშიაშვილი ( ყოფილი საბჭო) 24
1033,ქვემო ქართლის სარეაბილიტაციო ცენტრი,მარნეული. გიორგაძის 
1034,ნეირონი,გურამიშვილის შეს.7
1035,კავშირი ნაბიმედი,დ.უზნაძის 49
1039,სანიტასი,გორგასლის 159ბ
1041,კავშირი-საქართველოს პორტიჯის ასოციაცია,ჭავჭავაძის გამზ. 32
1042,ი. ბოკერიას სახელობის ნეიროგანვითარების ცენტრი,"დიდუბის რ-ნი, დიღმის მასივი, ლუბლიანას  2/6"
1046,საქართველოს სამარიტელთა კავშირი,სოფ. კავშირი
1048,ი. ბოკერიას სახელობის ნეიროგანვითარების ცენტრი,მ.გორკის 46
1050,"ბავშვი, ოჯახი, საზოგადოება","მარნეულის მუნიციპალიტეტი,სოფ.ყიზილარჯო"
1052,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 8
1053,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 9
1054,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 3
1059,"ბათუმის განათლების, განვითარების და დასაქმების ცენტრი",26 მაისის  106
1060,"საქველმოქმედო-ჰუმანიტარული ფონდი ""ბრეს"" საქართველო",ნაზი შამანაურის ქ 94
1061,"საზოგადოება ""ბილიკი""",კახა მეტრეველის 23
1063,"საზოგადოება ""ბილიკი""",პუშკინის ქ 24ა
1064,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,იპ. ხვიჩიას 28
1066,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,სოფელი ბაჯითი
1067,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,სოფ. კვალითი
1068,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,წერეთლის 8
1069,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ლევან II დადიანის
1070,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,სოხუმის (ქვ. მაზანდარა)
1071,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,შენგელიას 24
1072,დივაინ ჩაილდ ფოუნდეიშენ ოფ ჯორჯია,სოფ.წილკანი
1073,დივაინ ჩაილდ ფოუნდეიშენ ოფ ჯორჯია,სოფ.გალავანი
1074,"ფონდი საქველმოქმედო ჰუმანიტარიული ცენტრი""აფხაზეთი""",სოფ.კურდღელაური
1075,"ფონდი საქველმოქმედო ჰუმანიტარიული ცენტრი""აფხაზეთი""",სოფ. ვარდისუბანი
1076,"ფონდი საქველმოქმედო ჰუმანიტარიული ცენტრი""აფხაზეთი""",სოფ. ბაისუბანი
1079,ბავშვი და გარემო,სოფ.ნორიო
1080,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 3
1081,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 3
1082,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 10
1083,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 11
1084,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 12
1085,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით. სახლი 2
1087,საქველმოქმედო ფონდი საქართველოს კარიტასი,სოფ.მარტყოფი
1088,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით.
1089,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით.
1090,სოციალური პარტნიორობა(ააიპ ჩერნოვეცკის ფონდი),მეუნარგიას  42
1091,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,"ახალგაზრდობის გამზირი, მე-3 შეს. 5"
1092,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახაგაზრდობის გამზირი მე-3 შესახვევი სამხერეთ-დასავლეთი 12
1093,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)
1094,დივაინ ჩაილდ ფოუნდეიშენ ოფ ჯორჯია,ბეჟანიშვილის შეს. 8
1096,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით.
1098,ვორლდ ვიჟენ ინტერნაციონალი (World Vision International),ჩიქობავას ქ 29 
1099,საქველმოქმედო ფონდი საქართველოს კარიტასი,"ფალიაშვილის ქუჩის მიმდებარე ტერიტორია, 
18 საჯარო სკოლის მიმდებარე ტერიტორია"
1100,ვორლდ ვიჟენ ინტერნაციონალი (World Vision International),26 მაისის  43
1108,"ააიპ,,სმენადი""", მცხეთის  2 შესახვევი.3. ბინა 1
1110," ,,ახალი ხედვა"""," თბილისი, გლდანი 2 მ/რ, კორპ.29. ბინა 2"
1113,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 11
1114,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახაგაზრდობის გამზირი მე-3 შესახვევი სამხერეთ-დასავლეთი 12
1115,"საზოგადოება ""ბილიკი""",კახა მეტრეველის 23
